Brand Name,Factory CS,Coller size,Chest,Shoulder,Length,Type,Stuck_At,Fit Score
Robato,14,14,35.1,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.25,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.5,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.75,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,36,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,37,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.1,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.25,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.5,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.75,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,36,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,37,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.1,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.25,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.5,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.75,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,36,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,37,15.75,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.1,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.25,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.5,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.75,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,36,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,13.75,37,15.5,28.5,slim fit,thight,Thight in your chest area.
Robato,14,14,35.1,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.25,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.5,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.75,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,36,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,37,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.1,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.25,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.5,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,35.75,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,36,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,14,37,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.1,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.25,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.5,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.75,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,36,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,37,15.75,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.1,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.25,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.5,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,35.75,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,36,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14,13.75,37,15.5,28.25,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.1,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.25,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.5,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.75,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38.5,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,39,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.1,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.25,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.5,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.75,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38.5,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,39,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.1,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.25,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.5,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.75,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38.5,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,39,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.1,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.25,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.5,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,37.75,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,38.5,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.5,39,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.1,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.25,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.5,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.75,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38.5,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,39,16,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.1,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.25,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.5,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.75,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38.5,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,39,16.25,28.75,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.1,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.25,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.5,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.75,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38.5,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,39,16,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.1,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.25,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.5,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,37.75,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,38.5,16.25,29,slim fit,thight,Thight in your chest area.
Robato,14.5,14.25,39,16.25,29,slim fit,thight,Thight in your chest area.
Robato,15,15,39.1,16.5,29.25,slim fit,thight,Thight in your chest area.
Robato,15,15,39.25,16.5,29.25,slim fit,thight,Thight in your chest area.
