Brand Name,Recommend CS,Coller size,Chest,Shoulder,Length,Type
Robato,14,14,35,15.75,28.5,slim fit
Robato,14.5,14.5,37,16.25,29,slim fit
Robato,15,15,39,16.75,29.5,slim fit
Robato,15.5,15.5,41,17.25,30,slim fit
Robato,16,16,44,18,30.5,slim fit
Robato,16.5,16.5,46,18.5,31,slim fit
Robato,17,17,48,19,31.5,slim fit
Robato,17.5,17.5,50,19.5,32,slim fit
Robato,14,14,33,15.75,28.5,slim fit
Robato,14,14,33.25,15.75,28.5,slim fit
Robato,14,14,33.5,15.75,28.5,slim fit
Robato,14,14,33.75,15.75,28.5,slim fit
Robato,14,14,34,15.75,28.5,slim fit
Robato,14,14,34.25,15.75,28.5,slim fit
Robato,14,14,34.5,15.75,28.5,slim fit
Robato,14,14,34.75,15.75,28.5,slim fit
Robato,14,14,35,15.75,28.5,slim fit
Robato,14,14,33,15.5,28.5,slim fit
Robato,14,14,33.25,15.5,28.5,slim fit
Robato,14,14,33.5,15.5,28.5,slim fit
Robato,14,14,33.75,15.5,28.5,slim fit
Robato,14,14,34,15.5,28.5,slim fit
Robato,14,14,34.25,15.5,28.5,slim fit
Robato,14,14,34.5,15.5,28.5,slim fit
Robato,14,14,34.75,15.5,28.5,slim fit
Robato,14,14,35,15.5,28.5,slim fit
Robato,14,13.75,33,15.75,28.5,slim fit
Robato,14,13.75,33.25,15.75,28.5,slim fit
Robato,14,13.75,33.5,15.75,28.5,slim fit
Robato,14,13.75,33.75,15.75,28.5,slim fit
Robato,14,13.75,34,15.75,28.5,slim fit
Robato,14,13.75,34.25,15.75,28.5,slim fit
Robato,14,13.75,34.5,15.75,28.5,slim fit
Robato,14,13.75,34.75,15.75,28.5,slim fit
Robato,14,13.75,35,15.75,28.5,slim fit
Robato,14,13.75,33,15.5,28.5,slim fit
Robato,14,13.75,33.25,15.5,28.5,slim fit
Robato,14,13.75,33.5,15.5,28.5,slim fit
Robato,14,13.75,33.75,15.5,28.5,slim fit
Robato,14,13.75,34,15.5,28.5,slim fit
Robato,14,13.75,34.25,15.5,28.5,slim fit
Robato,14,13.75,34.5,15.5,28.5,slim fit
Robato,14,13.75,34.75,15.5,28.5,slim fit
Robato,14,13.75,35,15.5,28.5,slim fit
Robato,14,14,33,15.75,28.25,slim fit
Robato,14,14,33.25,15.75,28.25,slim fit
Robato,14,14,33.5,15.75,28.25,slim fit
Robato,14,14,33.75,15.75,28.25,slim fit
Robato,14,14,34,15.75,28.25,slim fit
Robato,14,14,34.25,15.75,28.25,slim fit
Robato,14,14,34.5,15.75,28.25,slim fit
Robato,14,14,34.75,15.75,28.25,slim fit
Robato,14,14,35,15.75,28.25,slim fit
Robato,14,14,33,15.5,28.25,slim fit
Robato,14,14,33.25,15.5,28.25,slim fit
Robato,14,14,33.5,15.5,28.25,slim fit
Robato,14,14,33.75,15.5,28.25,slim fit
Robato,14,14,34,15.5,28.25,slim fit
Robato,14,14,34.25,15.5,28.25,slim fit
Robato,14,14,34.5,15.5,28.25,slim fit
Robato,14,14,34.75,15.5,28.25,slim fit
Robato,14,14,35,15.5,28.25,slim fit
Robato,14,13.75,33,15.75,28.25,slim fit
Robato,14,13.75,33.25,15.75,28.25,slim fit
Robato,14,13.75,33.5,15.75,28.25,slim fit
Robato,14,13.75,33.75,15.75,28.25,slim fit
Robato,14,13.75,34,15.75,28.25,slim fit
Robato,14,13.75,34.25,15.75,28.25,slim fit
Robato,14,13.75,34.5,15.75,28.25,slim fit
Robato,14,13.75,34.75,15.75,28.25,slim fit
Robato,14,13.75,35,15.75,28.25,slim fit
Robato,14,13.75,33,15.5,28.25,slim fit
Robato,14,13.75,33.25,15.5,28.25,slim fit
Robato,14,13.75,33.5,15.5,28.25,slim fit
Robato,14,13.75,33.75,15.5,28.25,slim fit
Robato,14,13.75,34,15.5,28.25,slim fit
Robato,14,13.75,34.25,15.5,28.25,slim fit
Robato,14,13.75,34.5,15.5,28.25,slim fit
Robato,14,13.75,34.75,15.5,28.25,slim fit
Robato,14,13.75,35,15.5,28.25,slim fit
Robato,14.5,14.5,35.25,16,28.75,slim fit
Robato,14.5,14.5,35.5,16,28.75,slim fit
Robato,14.5,14.5,35.75,16,28.75,slim fit
Robato,14.5,14.5,36,16,28.75,slim fit
Robato,14.5,14.5,36.25,16,28.75,slim fit
Robato,14.5,14.5,36.5,16,28.75,slim fit
Robato,14.5,14.5,36.75,16,28.75,slim fit
Robato,14.5,14.5,35.25,16.25,29,slim fit
Robato,14.5,14.5,35.5,16.25,29,slim fit
Robato,14.5,14.5,35.75,16.25,29,slim fit
Robato,14.5,14.5,36,16.25,29,slim fit
Robato,14.5,14.5,36.25,16.25,29,slim fit
Robato,14.5,14.5,36.5,16.25,29,slim fit
Robato,14.5,14.5,36.75,16.25,29,slim fit
Robato,14.5,14.5,35.25,16,29,slim fit
Robato,14.5,14.5,35.5,16,29,slim fit
Robato,14.5,14.5,35.75,16,29,slim fit
Robato,14.5,14.5,36,16,29,slim fit
Robato,14.5,14.5,36.25,16,29,slim fit
Robato,14.5,14.5,36.5,16,29,slim fit
Robato,14.5,14.5,36.75,16,29,slim fit
Robato,14.5,14.5,35.25,16.25,28.75,slim fit
Robato,14.5,14.5,35.5,16.25,28.75,slim fit
Robato,14.5,14.5,35.75,16.25,28.75,slim fit
Robato,14.5,14.5,36,16.25,28.75,slim fit
Robato,14.5,14.5,36.25,16.25,28.75,slim fit
Robato,14.5,14.5,36.5,16.25,28.75,slim fit
Robato,14.5,14.5,36.75,16.25,28.75,slim fit
Robato,14.5,14.25,35.25,16,28.75,slim fit
Robato,14.5,14.25,35.5,16,28.75,slim fit
Robato,14.5,14.25,35.75,16,28.75,slim fit
Robato,14.5,14.25,36,16,28.75,slim fit
Robato,14.5,14.25,36.25,16,28.75,slim fit
Robato,14.5,14.25,36.5,16,28.75,slim fit
Robato,14.5,14.25,36.75,16,28.75,slim fit
Robato,14.5,14.25,35.25,16.25,29,slim fit
Robato,14.5,14.25,35.5,16.25,29,slim fit
Robato,14.5,14.25,35.75,16.25,29,slim fit
Robato,14.5,14.25,36,16.25,29,slim fit
Robato,14.5,14.25,36.25,16.25,29,slim fit
Robato,14.5,14.25,36.5,16.25,29,slim fit
Robato,14.5,14.25,36.75,16.25,29,slim fit
Robato,14.5,14.25,35.25,16,29,slim fit
Robato,14.5,14.25,35.5,16,29,slim fit
Robato,14.5,14.25,35.75,16,29,slim fit
Robato,14.5,14.25,36,16,29,slim fit
Robato,14.5,14.25,36.25,16,29,slim fit
Robato,14.5,14.25,36.5,16,29,slim fit
Robato,14.5,14.25,36.75,16,29,slim fit
Robato,14.5,14.25,35.25,16.25,28.75,slim fit
Robato,14.5,14.25,35.5,16.25,28.75,slim fit
Robato,14.5,14.25,35.75,16.25,28.75,slim fit
Robato,14.5,14.25,36,16.25,28.75,slim fit
Robato,14.5,14.25,36.25,16.25,28.75,slim fit
Robato,14.5,14.25,36.5,16.25,28.75,slim fit
Robato,14.5,14.25,36.75,16.25,28.75,slim fit
Robato,15,15,37,16.5,29.25,slim fit
Robato,15,15,37.25,16.5,29.25,slim fit
Robato,15,15,37.5,16.5,29.25,slim fit
Robato,15,15,37.75,16.5,29.25,slim fit
Robato,15,15,38,16.5,29.25,slim fit
Robato,15,15,38.25,16.5,29.25,slim fit
Robato,15,15,38.5,16.5,29.25,slim fit
Robato,15,15,38.75,16.5,29.25,slim fit
Robato,15,15,39,16.5,29.25,slim fit
Robato,15,15,37,16.75,29.5,slim fit
Robato,15,15,37.25,16.75,29.5,slim fit
Robato,15,15,37.5,16.75,29.5,slim fit
Robato,15,15,37.75,16.75,29.5,slim fit
Robato,15,15,38,16.75,29.5,slim fit
Robato,15,15,38.25,16.75,29.5,slim fit
Robato,15,15,38.5,16.75,29.5,slim fit
Robato,15,15,38.75,16.75,29.5,slim fit
Robato,15,15,39,16.75,29.5,slim fit
Robato,15,15,37,16.75,29.25,slim fit
Robato,15,15,37.25,16.75,29.25,slim fit
Robato,15,15,37.5,16.75,29.25,slim fit
Robato,15,15,37.75,16.75,29.25,slim fit
Robato,15,15,38,16.75,29.25,slim fit
Robato,15,15,38.25,16.75,29.25,slim fit
Robato,15,15,38.5,16.75,29.25,slim fit
Robato,15,15,38.75,16.75,29.25,slim fit
Robato,15,15,39,16.75,29.25,slim fit
Robato,15,14.75,37,16.5,29.25,slim fit
Robato,15,14.75,37.25,16.5,29.25,slim fit
Robato,15,14.75,37.5,16.5,29.25,slim fit
Robato,15,14.75,37.75,16.5,29.25,slim fit
Robato,15,14.75,38,16.5,29.25,slim fit
Robato,15,14.75,38.25,16.5,29.25,slim fit
Robato,15,14.75,38.5,16.5,29.25,slim fit
Robato,15,14.75,38.75,16.5,29.25,slim fit
Robato,15,14.75,39,16.5,29.25,slim fit
Robato,15,14.75,37,16.75,29.5,slim fit
Robato,15,14.75,37.25,16.75,29.5,slim fit
Robato,15,14.75,37.5,16.75,29.5,slim fit
Robato,15,14.75,37.75,16.75,29.5,slim fit
Robato,15,14.75,38,16.75,29.5,slim fit
Robato,15,14.75,38.25,16.75,29.5,slim fit
Robato,15,14.75,38.5,16.75,29.5,slim fit
Robato,15,14.75,38.75,16.75,29.5,slim fit
Robato,15,14.75,39,16.75,29.5,slim fit
Robato,15,14.75,37,16.75,29.25,slim fit
Robato,15,14.75,37.25,16.75,29.25,slim fit
Robato,15,14.75,37.5,16.75,29.25,slim fit
Robato,15,14.75,37.75,16.75,29.25,slim fit
Robato,15,14.75,38,16.75,29.25,slim fit
Robato,15,14.75,38.25,16.75,29.25,slim fit
Robato,15,14.75,38.5,16.75,29.25,slim fit
Robato,15,14.75,38.75,16.75,29.25,slim fit
Robato,15,14.75,39,16.75,29.25,slim fit
Robato,15.5,15.5,39.25,17,30,slim fit
Robato,15.5,15.5,39.5,17,30,slim fit
Robato,15.5,15.5,39.75,17,30,slim fit
Robato,15.5,15.5,40,17,30,slim fit
Robato,15.5,15.5,40.25,17,30,slim fit
Robato,15.5,15.5,40.5,17,30,slim fit
Robato,15.5,15.5,40.75,17,30,slim fit
Robato,15.5,15.5,41,17,30,slim fit
Robato,15.5,15.5,39.25,17.25,30,slim fit
Robato,15.5,15.5,39.5,17.25,30,slim fit
Robato,15.5,15.5,39.75,17.25,30,slim fit
Robato,15.5,15.5,40,17.25,30,slim fit
Robato,15.5,15.5,40.25,17.25,30,slim fit
Robato,15.5,15.5,40.5,17.25,30,slim fit
Robato,15.5,15.5,40.75,17.25,30,slim fit
Robato,15.5,15.5,41,17.25,30,slim fit
Robato,15.5,15.5,39.25,17,29.75,slim fit
Robato,15.5,15.5,39.5,17,29.75,slim fit
Robato,15.5,15.5,39.75,17,29.75,slim fit
Robato,15.5,15.5,40,17,29.75,slim fit
Robato,15.5,15.5,40.25,17,29.75,slim fit
Robato,15.5,15.5,40.5,17,29.75,slim fit
Robato,15.5,15.5,40.75,17,29.75,slim fit
Robato,15.5,15.5,41,17,29.75,slim fit
Robato,15.5,15.5,39.25,17.25,29.75,slim fit
Robato,15.5,15.5,39.5,17.25,29.75,slim fit
Robato,15.5,15.5,39.75,17.25,29.75,slim fit
Robato,15.5,15.5,40,17.25,29.75,slim fit
Robato,15.5,15.5,40.25,17.25,29.75,slim fit
Robato,15.5,15.5,40.5,17.25,29.75,slim fit
Robato,15.5,15.5,40.75,17.25,29.75,slim fit
Robato,15.5,15.5,41,17.25,29.75,slim fit
Robato,15.5,15.25,39.25,17,30,slim fit
Robato,15.5,15.25,39.5,17,30,slim fit
